state,total giving,total number gifts,top unmanaged
AK,6549,,0
AL,219663.5,,0
AR,134861.65,,0
AZ,5117100.92,,32
CA,24144021.25,,66
CO,13958322.86,,32
CT,2354543.31,,15
DC,414601.44,,7
DE,2440,,0
FL,20563527.28,,56
GA,1218449.36,,18
HI,826600.89,,16
IA,142937513.1,,85
ID,29086,,1
IL,34046144.53,,86
IN,476176.79,,4
KS,1811973.42,,11
KY,84048.78,,2
LA,16992,,0
MA,3764017.32,,19
MD,631071.98,,25
ME,59906.4,,
MI,3209133.34,,
MN,5215837.16,,
MO,7460627.74,,
MS,162200,,
MT,266393,,
NC,2140738.5,,
ND,4515,,
NE,1913548.31,,
NH,114895,,
NJ,274169.91,,
NM,146791.37,,
NV,413986.5,,
NY,3175734.17,,
OH,563018.86,,
OK,177971.78,,
OR,4423531.12,,
PA,362280.89,,
RI,108768.5,,
SC,4995268.72,,
SD,37860.94,,
TN,409432.5,,
TX,16533160.22,,
UT,484975.36,,
VA,2775665.17,,
VT,359109,,
WA,2759387.48,,
WI,3396421.87,,
WV,8636,,
WY,23113,,
