state,number,top unmanaged,lifetime giving
AE,2,0,50
AK,13,0,1264
AL,24,0,401000
AR,23,0,136741.3
AZ,404,34,7660961.3
CA,1062,68,37482376.41
CO,648,22,15961233.07
CT,96,13,2332568.82
DC,77,7,453533.13
DE,5,0,1440
FL,566,51,32448309.82
GA,159,17,1373654.01
HI,130,14,1329698.39
IA,3054,87,217893237.6
ID,23,1,27461
IL,1888,81,56094658.4
IN,129,3,575622.99
KS,246,11,6752070.92
KY,23,2,90139.78
LA,5,0,21997
MA,149,15,6100450.43
MD,185,24,483199.98
ME,17,4,87514.4
MI,108,12,6113509.13
MN,997,35,8038638.61
MO,432,28,10541472.67
MS,6,0,157470
MT,43,2,354902
NC,147,14,3916123.62
ND,7,0,3700
NE,134,4,3621289.9
NH,22,0,115645
NJ,110,13,259469.5
NM,38,7,150102.37
NV,52,10,383895.5
NY,184,20,3801064.61
OH,121,11,2195123.8
OK,44,1,215082.51
ON,2,0,1202817.89
OR,150,3,4405617.12
PA,101,10,245768.1
PR,2,1,100075
RI,12,0,111098.5
SC,85,14,9725436.44
SD,25,3,31443.49
TN,102,5,594086.43
TX,472,35,24236635.21
UT,43,0,640057.76
VA,302,23,3492259.9
VT,13,2,653597
WA,263,5,2743208.55
WI,346,35,5383084.43
WV,3,0,17830
WY,16,2,44613
